question,answer
Luật Lao động quy định thời gian làm việc tối đa trong một ngày là bao nhiêu giờ?,Luật Lao động quy định thời gian làm việc tối đa là 8 giờ một ngày.
Điều kiện để một hợp đồng lao động có hiệu lực là gì?,"Hợp đồng lao động có hiệu lực khi được ký kết giữa người lao động và người sử dụng lao động, và có đầy đủ các điều khoản theo quy định của pháp luật."
Thời gian thử việc tối đa theo quy định của Luật Lao động là bao nhiêu?,"Thời gian thử việc tối đa là 60 ngày đối với công việc yêu cầu trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên."
Người lao động có quyền nghỉ việc không lương bao nhiêu ngày trong một năm?,Người lao động có quyền nghỉ việc không lương tối đa 10 ngày trong một năm.
Luật Giao thông đường bộ quy định tốc độ tối đa cho xe ô tô trong khu vực đông dân cư là bao nhiêu?,Tốc độ tối đa cho xe ô tô trong khu vực đông dân cư là 50 km/h.
Điều kiện để một công ty cổ phần được phát hành cổ phiếu ra công chúng là gì?,Công ty cổ phần phải có vốn điều lệ đã góp ít nhất là 10 tỷ đồng và hoạt động có lãi trong năm liền trước năm đăng ký phát hành.
Luật Hôn nhân và Gia đình quy định độ tuổi kết hôn tối thiểu là bao nhiêu?,Độ tuổi kết hôn tối thiểu là 20 tuổi đối với nam và 18 tuổi đối với nữ.
Một hợp đồng mua bán nhà ở cần có những điều kiện gì để hợp pháp?,"Hợp đồng mua bán nhà ở cần được lập thành văn bản, có chữ ký của các bên và được công chứng hoặc chứng thực theo quy định pháp luật."
Quyền sở hữu trí tuệ được bảo hộ trong bao lâu?,Quyền sở hữu trí tuệ đối với sáng chế được bảo hộ trong 20 năm kể từ ngày nộp đơn.
Mức xử phạt vi phạm hành chính về bảo vệ môi trường là bao nhiêu?,Mức xử phạt vi phạm hành chính về bảo vệ môi trường có thể lên đến 1 tỷ đồng đối với tổ chức và 500 triệu đồng đối với cá nhân.
Quyền sử dụng đất có được chuyển nhượng không?,Quyền sử dụng đất có thể được chuyển nhượng theo quy định của Luật Đất đai.
Thời hạn tối đa của giấy phép xây dựng là bao lâu?,Thời hạn tối đa của giấy phép xây dựng là 12 tháng kể từ ngày cấp.
Luật Doanh nghiệp quy định vốn điều lệ là gì?,Vốn điều lệ là tổng giá trị tài sản do các thành viên cam kết góp vốn và ghi trong điều lệ công ty.
Chủ sở hữu công ty TNHH một thành viên có được bán công ty không?,Chủ sở hữu công ty TNHH một thành viên có quyền bán công ty theo quy định của pháp luật.
Luật Bảo vệ người tiêu dùng quy định quyền khiếu nại của người tiêu dùng như thế nào?,"Người tiêu dùng có quyền khiếu nại khi sản phẩm, dịch vụ không đảm bảo chất lượng hoặc vi phạm hợp đồng."
Mức lương tối thiểu vùng hiện nay là bao nhiêu?,"Mức lương tối thiểu vùng hiện nay dao động từ 3 triệu đồng đến 4,42 triệu đồng tùy theo từng vùng."
Thời hạn tối đa của một hợp đồng lao động xác định thời hạn là bao lâu?,Thời hạn tối đa của một hợp đồng lao động xác định thời hạn là 36 tháng.
Người lao động có quyền đơn phương chấm dứt hợp đồng lao động trong những trường hợp nào?,"Người lao động có quyền đơn phương chấm dứt hợp đồng lao động trong trường hợp bị ngược đãi, không được trả lương đúng hạn hoặc không được đảm bảo điều kiện làm việc."
Công ty có bắt buộc phải tổ chức đại hội đồng cổ đông hàng năm không?,Công ty cổ phần bắt buộc phải tổ chức đại hội đồng cổ đông hàng năm.
Thời gian làm việc ban đêm được tính từ mấy giờ đến mấy giờ?,Thời gian làm việc ban đêm được tính từ 22 giờ đến 6 giờ sáng ngày hôm sau.
Luật Bảo hiểm xã hội quy định thời gian nghỉ thai sản của lao động nữ là bao lâu?,Thời gian nghỉ thai sản của lao động nữ là 6 tháng.
Doanh nghiệp phải thông báo cho cơ quan nào khi thay đổi địa chỉ trụ sở chính?,Doanh nghiệp phải thông báo cho cơ quan đăng ký kinh doanh khi thay đổi địa chỉ trụ sở chính.
Điều kiện để một hợp đồng lao động được ký kết là gì?,"Hợp đồng lao động phải được lập thành văn bản, có nội dung rõ ràng và đầy đủ các điều khoản theo quy định của pháp luật."
Thời hạn bảo vệ quyền tác giả đối với tác phẩm văn học là bao lâu?,Thời hạn bảo vệ quyền tác giả đối với tác phẩm văn học là suốt cuộc đời tác giả và 50 năm sau khi tác giả qua đời.
Công ty TNHH hai thành viên trở lên có được phát hành trái phiếu không?,Công ty TNHH hai thành viên trở lên có quyền phát hành trái phiếu theo quy định của pháp luật.
